name.id,prefix,displayName,electorate,party
EZ5,the Hon.,"Abbott, Tony",Warringah,Liberal Party of Australia
R36,the Hon.,"Albanese, Anthony",Grayndler,Australian Labor Party
13050,the Hon. Dr,"Aly, Anne",Cowan,Australian Labor Party
M3C,Dr,"Bandt, Adam",Melbourne,Australian Greens
4K6,the Hon.,"Causley, Ian",Page,The Nationals
00AMV,the Hon.,"Hunt, Greg",Flinders,Liberal Party of Australia
00AMQ,NA,"King, Peter",Wentworth,Independent
XH4,the Hon.,"McGauran, Peter",Gippsland,The Nationals
129164,NA,"Mitchell, Brian",Lyons,Australian Labor Party
8E4,the Hon. Dr,"Wooldridge, Michael",Casey,Liberal Party of Australia
